id;event_id;business_id;user_id;party_size;reservation_date;reservation_time;status;notes;created_at;updated_at
b0eb4675-917b-4821-853a-229e8ef2651f;;9983e0d2-1023-48d2-8633-a0312c008965;e70ad675-db06-4cfa-b9d7-69daf350fa37;2;2026-01-22;20:00:00;confirmed;Fajcka;2026-01-21 09:25:11.971635+00;2026-01-21 09:25:36.893286+00
30e22b0c-7631-42ff-b6ca-fdbe89d9a3fc;;9983e0d2-1023-48d2-8633-a0312c008965;8e435767-8098-4475-a99e-81d9c0e70622;2;2026-01-22;20:15:00;rejected;;2026-01-21 18:16:04.862879+00;2026-01-21 23:11:02.959323+00
ac9822f9-a43d-410b-9f41-a40856782fe6;;9983e0d2-1023-48d2-8633-a0312c008965;e70ad675-db06-4cfa-b9d7-69daf350fa37;2;2026-01-27;19:05:00;confirmed;;2026-01-26 16:49:48.402873+00;2026-01-26 16:50:08.85344+00
